"MDM_MOCK_F" "MDM_MOCK_L" "MDM_MOCK_S" "MDM_IL27_F" "MDM_IL27_L" "MDM_IL27_S" "MDM_LPS_F" "MDM_LPS_L" "MDM_LPS_S" "MDM_IL27_LPS_F" "MDM_IL27_LPS_L" "MDM_IL27_LPS_S"
"ENSG00000219881" 1 2 0 2 0 0 0 0 0 0 0 0
"ENSG00000224349" 2 2 0 0 0 2 0 0 0 0 0 6
"ENSG00000082269" 168 144 285 265 251 211 449 230 365 399 553 706
"ENSG00000238386" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000154079" 163 141 176 109 190 128 86 58 115 43 78 73
"ENSG00000271967" 7 5 4 1 2 0 0 0 1 0 0 0
"ENSG00000232389" 33 39 56 56 27 64 61 113 234 26 115 122
"ENSG00000112305" 610 526 882 444 673 450 368 470 424 322 538 389
"ENSG00000262803" 0 0 0 2 0 0 0 0 2 0 0 2
"ENSG00000217767" 0 0 0 0 0 0 0 0 0 2 0 2
"ENSG00000112309" 498 423 688 359 586 387 294 394 328 234 426 278
"ENSG00000218350" 7 5 7 2 8 3 15 5 4 7 17 4
"ENSG00000232295" 292 259 545 327 409 420 694 376 871 541 632 942
"ENSG00000276127" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000230597" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000233237" 1 0 2 0 0 0 0 0 0 0 0 8
"ENSG00000279312" 0 4 0 0 0 0 0 0 0 0 0 0
"ENSG00000199094" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000279289" 0 0 2 0 0 0 0 0 0 0 0 10
"ENSG00000207827" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000119900" 1382 1557 2655 1705 2076 2098 3762 2094 5329 3105 3869 5745
"ENSG00000269966" 75 59 121 92 98 90 147 78 195 141 157 199
"ENSG00000181514" 1 1 1 4 1 0 0 0 0 0 0 2
"ENSG00000185760" 79 43 166 31 19 36 38 8 35 16 8 18
"ENSG00000233844" 0 0 0 2 0 0 0 0 4 2 0 0
"ENSG00000266180" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000220515" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229154" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000277026" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000234025" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232422" 2 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000251360" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243501" 1 1 1 0 0 0 0 0 0 0 0 0
"ENSG00000256980" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000135314" 10 6 25 1 10 9 2 4 2 1 3 2
"ENSG00000263378" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229852" 10 7 11 2 6 5 4 2 2 0 4 5
"ENSG00000239626" 6 0 0 0 2 0 0 1 0 0 0 0
"ENSG00000234882" 1 0 4 4 2 1 0 2 2 0 0 0
"ENSG00000203907" 3 6 0 0 4 7 0 5 0 1 8 3
"ENSG00000231332" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000224221" 0 0 2 2 0 0 0 0 4 0 0 6
"ENSG00000080007" 15 20 8 19 14 13 13 20 25 16 32 18
"ENSG00000235174" 51 172 66 66 238 31 45 145 108 14 177 77
"ENSG00000164430" 133 149 132 149 191 124 862 575 929 635 916 1034
"ENSG00000135297" 354 337 367 379 433 292 249 182 190 148 188 228
"ENSG00000207023" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000264609" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000271986" 0 0 0 0 4 0 0 0 0 0 0 0
"ENSG00000223821" 37 31 34 31 46 20 11 17 23 9 21 20
"ENSG00000156508" 39453 47815 53685 32938 56739 33954 36777 49559 47296 25688 58233 38584
"ENSG00000229862" 9 3 7 2 7 2 6 2 5 8 2 9
"ENSG00000223967" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000218459" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000119899" 1476 995 1664 1407 1189 1357 871 495 724 715 867 921
"ENSG00000156535" 3063 2405 2535 2288 2894 1315 2050 1593 1463 1365 2094 1155
"ENSG00000231652" 9 12 28 5 21 9 4 2 14 0 6 4
"ENSG00000112695" 1187 1484 1362 1366 1923 1260 1190 1662 1319 619 1652 1330
"ENSG00000112697" 4134 3717 6517 4017 4333 3951 4043 2454 4519 2872 4160 4217
"ENSG00000118407" 2 8 5 2 3 4 0 0 2 0 0 0
"ENSG00000203489" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237174" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221332" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000263533" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238156" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000217680" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000201291" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000225793" 13 17 7 16 10 7 1 4 0 0 2 5
"ENSG00000112701" 913 793 1206 850 828 874 996 653 1108 830 1019 1075
"ENSG00000217488" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000252498" 5 1 9 3 1 7 2 3 4 1 1 9
"ENSG00000200091" 1 0 1 0 0 0 0 0 2 1 0 0
"ENSG00000196586" 720 326 636 620 268 370 339 105 323 202 171 255
"ENSG00000252156" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000223169" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000146243" 64 49 54 42 28 29 36 35 23 31 35 47
"ENSG00000275100" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000146247" 819 659 1387 1011 808 754 956 604 890 668 976 1076
"ENSG00000217512" 2 0 0 6 0 0 0 0 0 2 0 0
"ENSG00000118418" 1116 1173 1218 1453 1264 989 870 823 1092 435 1083 942
"ENSG00000270362" 163 205 182 241 222 147 169 166 206 79 220 176
"ENSG00000135338" 8 2 7 6 2 4 0 2 0 2 0 3
"ENSG00000198478" 6 4 16 6 0 2 0 2 6 4 3 2
"ENSG00000112742" 140 185 255 111 194 91 49 130 104 24 133 60
"ENSG00000218418" 30 17 38 31 23 23 36 22 38 25 39 41
"ENSG00000083123" 115 86 171 71 99 106 86 70 66 29 85 67
"ENSG00000272129" 7 2 5 4 4 2 5 2 6 3 2 0
"ENSG00000233967" 3 8 11 3 9 1 2 0 4 0 0 2
"ENSG00000260645" 8 6 9 4 0 2 0 2 0 0 0 0
"ENSG00000112773" 788 564 998 719 835 713 2179 1130 1686 1604 1480 1826
"ENSG00000226089" 0 2 2 1 0 0 1 0 0 4 2 0
"ENSG00000277797" 0 0 0 2 0 0 2 2 2 0 0 2
"ENSG00000212336" 0 0 0 0 0 0 2 0 0 2 0 0
"ENSG00000232031" 0 0 0 0 0 0 4 0 0 0 0 0
"ENSG00000224995" 19 11 21 22 14 8 6 9 12 2 0 2
"ENSG00000226453" 8 4 11 12 2 12 2 3 27 0 5 5
"ENSG00000005700" 1196 1052 1682 1359 1370 1032 1964 1474 1896 1533 2165 1697
"ENSG00000223044" 0 0 0 0 0 0 2 0 0 3 0 0
"ENSG00000146242" 6 4 10 7 13 2 16 22 82 21 76 64
"ENSG00000118420" 13 20 30 12 22 15 2 8 6 4 2 11
"ENSG00000220091" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000227215" 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000281446" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000083097" 442 301 613 414 328 351 727 420 671 816 798 1134
"ENSG00000013375" 570 526 679 456 613 440 475 518 477 407 747 746
"ENSG00000013392" 206 203 185 166 172 177 101 144 90 85 166 83
"ENSG00000252309" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000219951" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000065833" 746 755 1113 762 1108 665 303 336 398 299 561 478
"ENSG00000146250" 13 2 7 10 6 2 10 0 2 0 0 4
"ENSG00000065615" 750 665 1321 724 780 963 1022 537 1103 622 897 1136
"ENSG00000228679" 4 0 7 3 0 3 3 0 0 2 1 4
"ENSG00000135315" 175 116 239 190 148 208 115 91 99 47 116 138
"ENSG00000135318" 18 86 28 11 133 17 27 168 46 14 137 15
"ENSG00000135317" 1214 1118 1816 1176 1339 1268 1045 840 1034 905 1124 1064
"ENSG00000271793" 723 606 774 804 709 527 682 524 856 435 563 637
"ENSG00000135316" 3027 2795 3686 3113 3188 2719 3053 1965 3678 2196 2313 2581
"ENSG00000203875" 824 1174 954 596 1232 677 527 840 634 330 748 542
"ENSG00000281147" 5 7 9 5 14 6 4 5 9 6 2 2
"ENSG00000275072" 26 14 29 15 20 18 12 24 21 19 15 22
"ENSG00000218561" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000217769" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000272008" 0 0 9 8 0 0 2 2 0 0 10 2
"ENSG00000188994" 424 399 633 521 662 389 488 280 392 376 521 329
"ENSG00000218313" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000164411" 4 7 5 6 0 4 0 7 2 0 3 2
"ENSG00000216990" 0 0 6 0 0 0 2 0 0 0 2 8
"ENSG00000111850" 103 87 92 61 80 66 21 24 19 14 32 18
"ENSG00000279616" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000203872" 22 10 10 19 5 7 4 2 2 9 0 0
"ENSG00000272514" 6 0 2 8 3 12 2 12 10 22 10 18
"ENSG00000213204" 366 276 566 355 349 310 253 180 222 273 322 229
"ENSG00000216324" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000218793" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000218698" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000164414" 587 476 877 538 535 587 465 309 379 379 489 398
"ENSG00000206715" 0 0 0 0 2 0 0 0 0 0 0 0
"ENSG00000135336" 277 241 347 212 348 168 122 124 169 66 123 111
"ENSG00000146282" 421 382 499 435 409 350 393 287 422 255 379 366
"ENSG00000135334" 983 999 1236 1125 1348 953 2640 2176 2655 1931 3092 2971
"ENSG00000111880" 390 331 580 329 367 339 236 176 262 153 267 206
"ENSG00000222145" 0 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000146278" 1365 1188 1812 1259 1325 1037 5426 5808 8788 4614 10538 9998
"ENSG00000154548" 2 11 9 2 5 0 28 30 38 16 35 36
"ENSG00000146281" 102 91 238 103 160 123 94 54 88 68 102 114
"ENSG00000111886" 32 23 31 72 51 23 88 14 42 99 62 113
"ENSG00000220418" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000198833" 1377 1297 1493 1617 1780 1248 2247 1607 2318 1449 2061 2122
"ENSG00000025039" 1054 919 1683 1063 978 1149 508 392 788 402 458 622
"ENSG00000135299" 321 192 467 270 230 257 190 88 214 113 190 155
"ENSG00000239316" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237027" 4 5 6 1 6 8 5 2 1 2 6 2
"ENSG00000083099" 633 576 1020 640 660 655 423 294 558 247 364 421
"ENSG00000112159" 729 563 689 721 714 485 444 218 287 361 297 343
"ENSG00000220871" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000217653" 0 0 0 0 0 0 2 0 0 0 0 0
"ENSG00000228124" 22 7 12 11 1 1 1 0 5 2 6 8
"ENSG00000118412" 280 204 349 319 311 188 161 120 134 139 241 143
"ENSG00000199630" 0 0 0 0 0 0 0 0 0 0 2 0
"ENSG00000112182" 29 14 71 28 18 32 46 23 64 16 17 34
"ENSG00000226455" 0 0 2 4 0 3 1 0 0 0 1 1
"ENSG00000222078" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000218730" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000135341" 1052 824 1417 1042 904 890 946 792 1217 684 1079 1065
"ENSG00000172469" 188 200 226 282 233 112 154 91 76 105 145 61
"ENSG00000261366" 5 4 12 6 8 4 1 0 4 0 0 2
"ENSG00000233797" 2 0 0 0 0 0 0 0 6 0 0 8
"ENSG00000014123" 595 728 1035 994 962 588 584 441 565 293 549 491
"ENSG00000123545" 148 173 212 102 180 188 97 49 121 54 69 74
"ENSG00000186231" 14 8 16 9 10 8 6 0 0 0 0 4
"ENSG00000146263" 168 135 233 152 151 130 61 46 46 42 65 36
"ENSG00000112234" 260 212 336 212 228 201 124 84 113 93 100 127
"ENSG00000232699" 2 5 1 4 2 2 2 1 1 0 8 1
"ENSG00000132423" 81 121 99 58 129 93 43 62 68 17 52 51
"ENSG00000132424" 3000 2274 3700 3498 2535 2198 1402 808 1361 1130 1330 1290
"ENSG00000123552" 156 79 195 161 107 125 96 64 56 71 71 69
"ENSG00000228506" 63 38 66 77 49 59 34 15 43 27 22 30
"ENSG00000228439" 22 8 10 14 10 10 10 4 7 4 4 6
"ENSG00000274603" 6 3 3 5 1 0 4 1 1 1 0 0
"ENSG00000112237" 461 546 774 401 602 480 557 547 592 360 653 569
"ENSG00000272017" 29 20 48 26 48 42 24 22 27 15 38 32
"ENSG00000219755" 4 12 0 5 10 4 0 0 4 0 2 2
"ENSG00000279170" 2 0 12 0 0 0 0 0 0 0 0 2
"ENSG00000220695" 0 1 0 0 1 0 0 0 2 0 0 0
"ENSG00000112249" 953 856 1386 1191 1087 1054 1005 495 963 654 689 823
"ENSG00000260000" 10 6 10 4 6 4 2 2 5 2 13 5
"ENSG00000270987" 9 13 2 6 12 11 7 4 14 4 2 19
"ENSG00000164418" 5 2 4 0 2 14 8 0 0 2 0 2
"ENSG00000218475" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000085382" 169 138 170 132 133 86 66 82 66 61 95 37
"ENSG00000252944" 0 0 0 0 2 0 0 0 0 0 0 0
"ENSG00000227535" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000112276" 0 0 0 0 0 0 0 0 2 1 2 0
"ENSG00000203808" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000132429" 2 0 4 2 0 0 6 4 8 0 1 7
"ENSG00000216639" 0 0 0 2 0 0 0 0 0 0 0 0
"ENSG00000219902" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000085377" 1076 1020 1202 1082 1044 937 846 673 814 565 681 737
"ENSG00000231628" 76 58 85 78 63 63 38 53 54 54 29 48
"ENSG00000057657" 369 320 577 532 454 340 1052 513 962 709 733 985
"ENSG00000269919" 0 0 0 0 0 2 4 0 0 4 0 0
"ENSG00000057663" 477 453 592 445 500 447 392 338 458 273 431 363
"ENSG00000273744" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244710" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000252444" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000207499" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000202386" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000282408" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000200314" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000112297" 2739 1645 3638 2867 2204 2407 2000 848 1962 1372 1229 1772
"ENSG00000130347" 188 142 126 148 187 121 86 86 82 74 93 57
"ENSG00000200295" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000130348" 333 236 362 341 332 311 347 251 363 255 230 247
"ENSG00000216977" 0 0 0 0 0 0 2 0 0 0 0 0
"ENSG00000130349" 195 192 295 166 211 167 88 86 119 73 108 91
"ENSG00000178409" 100 79 82 71 79 38 51 41 26 45 48 37
"ENSG00000276620" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000164494" 336 270 447 296 330 282 158 126 235 133 129 182
"ENSG00000220237" 2 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000112320" 4 0 0 0 4 0 0 2 0 2 4 0
"ENSG00000234206" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000025796" 1257 1334 1862 1253 1347 1253 1280 1153 1471 836 1722 1227
"ENSG00000238420" 0 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000232778" 6 0 0 0 2 0 0 0 0 0 0 1
"ENSG00000272476" 33 36 42 24 38 24 60 32 32 29 81 50
"ENSG00000225093" 7 6 0 4 8 0 2 7 9 4 6 3
"ENSG00000271734" 17 2 14 10 9 9 2 2 5 1 0 0
"ENSG00000081087" 1158 923 1861 1269 1116 1454 1161 688 1542 680 844 1507
"ENSG00000238490" 0 0 0 0 0 0 0 0 0 0 0 2
"ENSG00000225174" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000233511" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000212525" 0 0 0 0 0 0 0 0 2 0 0 0
"ENSG00000112335" 2618 2296 3801 2824 2663 2581 2405 2184 3012 1484 2745 2897
"ENSG00000135537" 129 120 173 86 106 109 39 59 87 41 60 48
"ENSG00000238055" 0 2 4 0 0 1 0 4 0 0 0 2
"ENSG00000279498" 0 0 0 2 0 0 0 0 0 0 0 0
"ENSG00000238079" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000227072" 0 0 0 0 0 2 0 0 0 0 0 0
"ENSG00000200799" 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000228976" 0 0 0 0 0 0 0 0 4 2 0 0
"ENSG00000118689" 822 641 1392 675 709 781 674 435 594 521 603 724
"ENSG00000203801" 5 2 5 4 2 2 0 0 2 0 4 2
"ENSG00000219565" 4 2 3 0 0 0 0 5 4 1 6 1
"ENSG00000118690" 80 51 74 67 68 46 16 16 18 12 14 13
"ENSG00000218872" 0 2 0 0 0 0 0 0 0 0 0 0
"ENSG00000230290" 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000228834" 10 8 2 6 4 1 4 1 5 0 6 6
"ENSG00000080546" 1186 677 1472 808 571 576 245 112 255 101 152 187
"ENSG00000199944" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000271730" 146 85 218 121 110 62 37 6 30 15 14 17
"ENSG00000183137" 178 152 304 219 194 155 226 159 193 204 278 327
"ENSG00000243587" 3 11 11 3 6 9 3 2 8 12 3 3
"ENSG00000233908" 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000219700" 1 0 10 0 0 8 0 0 2 2 2 0
"ENSG00000203799" 124 127 162 84 119 88 29 32 38 23 19 38
"ENSG00000201023" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000218632" 0 0 0 2 0 0 0 0 0 0 0 2
"ENSG00000135535" 8766 7821 13897 8440 8676 8933 8607 4571 8936 4887 6204 9593
"ENSG00000260273" 16 11 15 11 14 14 7 8 11 9 10 30
"ENSG00000185250" 76 44 39 45 50 14 87 67 50 63 74 56
"ENSG00000239160" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000135587" 395 224 226 300 313 194 477 282 300 341 341 367
"ENSG00000135596" 10620 5111 8156 8628 4894 5417 8233 3890 6022 7087 5727 8107
"ENSG00000112365" 280 225 379 235 246 238 205 142 203 160 206 176
"ENSG00000223537" 2 0 4 4 1 4 0 0 0 0 0 4
"ENSG00000155085" 93 48 132 94 69 81 31 15 29 25 24 32
"ENSG00000253037" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000112367" 1300 975 1760 1353 1238 1166 780 503 905 560 722 784
"ENSG00000232311" 6 4 10 21 17 2 7 2 1 2 3 4
"ENSG00000112290" 32 20 26 20 20 4 2 14 4 4 8 2
"ENSG00000168438" 497 326 791 515 455 450 241 229 261 216 289 184
"ENSG00000053328" 2 0 1 2 0 0 0 0 0 0 0 0
"ENSG00000203797" 176 131 308 271 146 288 189 110 295 137 117 279
"ENSG00000004809" 48 71 61 27 51 32 38 37 34 30 74 31
"ENSG00000241162" 0 0 0 0 0 0 0 0 4 0 0 0
"ENSG00000281088" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000260188" 11 4 24 0 2 12 6 2 11 11 2 5
"ENSG00000155111" 692 538 1109 676 743 633 332 207 276 259 240 242
"ENSG00000213150" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000217041" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000219150" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000200522" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000212587" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000199360" 0 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000271607" 0 1 5 5 5 2 0 0 0 1 0 0
"ENSG00000123505" 1244 1741 1977 1576 2299 1526 2314 1155 2124 1577 1853 2007
"ENSG00000213149" 20 5 17 12 22 0 2 4 4 10 11 4
"ENSG00000197498" 280 348 370 312 361 280 202 151 251 90 111 133
"ENSG00000207431" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000155115" 644 793 1039 650 963 897 685 656 815 475 787 716
"ENSG00000266032" 4 0 5 0 2 3 0 0 0 0 0 0
"ENSG00000218803" 5 4 0 2 3 2 4 12 6 2 7 6
"ENSG00000200926" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000112394" 426 310 334 268 287 170 110 253 186 49 316 102
"ENSG00000231046" 5 2 7 4 4 6 0 0 0 0 2 0
"ENSG00000173214" 72 84 173 99 121 127 34 26 75 31 32 49
"ENSG00000230177" 35 30 32 19 28 25 4 6 14 5 4 3
"ENSG00000271789" 5 2 5 0 12 4 0 0 2 4 0 2
"ENSG00000009413" 251 178 438 216 199 163 62 55 76 40 79 29
"ENSG00000229276" 0 0 0 2 0 0 0 0 0 0 0 0
"ENSG00000218676" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000231889" 39 18 39 22 9 12 15 8 10 10 4 3
"ENSG00000056972" 246 299 285 375 428 264 919 1044 864 604 1508 836
"ENSG00000272356" 80 64 106 64 74 37 19 14 18 1 14 9
"ENSG00000220392" 2 4 2 1 0 3 0 0 0 0 0 0
"ENSG00000220506" 2 0 2 0 2 1 0 0 0 0 0 0
"ENSG00000255389" 9 25 17 8 8 10 9 3 2 1 6 4
"ENSG00000010810" 708 481 742 484 410 285 408 358 346 174 350 241
"ENSG00000112761" 10 1 15 7 7 5 0 4 4 0 7 1
"ENSG00000074935" 115 114 166 104 96 84 35 49 38 16 73 47
"ENSG00000203778" 8 2 1 6 4 6 8 9 13 4 6 10
"ENSG00000225580" 4 8 12 4 6 3 0 4 5 8 7 3
"ENSG00000230943" 2 0 2 0 0 3 20 16 26 29 28 30
"ENSG00000277443" 1669 1124 1777 1257 1247 787 18426 16417 24338 12347 21646 19876
"ENSG00000227502" 12 0 4 0 6 5 78 45 99 62 56 74
"ENSG00000196591" 1258 1388 1615 1163 1425 1123 1349 1151 1713 922 1337 1149
"ENSG00000228624" 20 22 27 13 29 18 33 32 30 36 33 38
"ENSG00000216723" 0 0 2 2 0 0 1 0 2 0 0 1
"ENSG00000249853" 0 0 0 0 2 0 0 0 0 0 0 2
"ENSG00000216471" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000212333" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221599" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000218089" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111816" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000186743" 3 4 0 6 3 0 1 4 0 0 4 3
"ENSG00000178425" 397 430 605 329 414 341 206 179 262 116 252 238
"ENSG00000123500" 0 0 0 2 0 0 0 0 0 0 0 0
"ENSG00000218428" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000236326" 26 36 34 11 21 19 5 9 11 6 24 10
"ENSG00000111817" 869 1032 1277 928 1248 824 801 1256 1146 622 1819 1102
"ENSG00000237021" 2 0 4 3 2 1 0 0 0 1 0 0
"ENSG00000240050" 2 6 11 6 10 4 5 2 0 0 5 0
"ENSG00000187189" 137 151 285 176 157 133 96 71 109 39 113 103
"ENSG00000233558" 1 4 8 8 9 3 6 4 1 0 3 10
"ENSG00000189241" 961 763 1608 874 925 932 634 529 865 406 714 696
"ENSG00000217241" 21 38 26 35 43 23 28 38 20 23 22 27
"ENSG00000244158" 3 32 18 22 66 48 44 107 82 131 185 171
"ENSG00000188820" 35 130 87 143 338 207 400 930 570 583 1505 1277
"ENSG00000234117" 2 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000173626" 4 0 0 0 1 0 0 0 0 2 0 1
"ENSG00000178033" 0 0 0 0 6 0 2 36 10 10 20 16
"ENSG00000164451" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111832" 295 400 479 386 450 296 469 500 560 248 572 427
"ENSG00000111834" 11 5 6 2 5 12 18 4 16 9 15 20
"ENSG00000153975" 237 218 271 199 243 231 315 317 347 281 426 297
"ENSG00000196911" 110 84 138 157 157 120 270 153 202 207 222 223
"ENSG00000047936" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251814" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000222713" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000282218" 85 54 96 63 75 55 90 59 102 85 114 123
"ENSG00000219703" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000281606" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000226181" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000164465" 151 117 250 148 157 149 373 270 388 358 491 471
"ENSG00000207461" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000047932" 589 445 751 534 542 481 725 400 658 512 684 838
"ENSG00000153989" 972 817 1247 958 940 824 1565 881 1506 981 1301 1539
"ENSG00000196376" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000230202" 286 111 113 85 52 124 73 225 69 99 73 101
"ENSG00000216809" 2 2 4 0 2 5 2 2 4 1 2 4
"ENSG00000111860" 136 96 248 124 109 106 101 76 163 103 136 149
"ENSG00000169075" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000198523" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000217330" 0 0 0 0 1 0 0 0 0 2 0 0
"ENSG00000225549" 2 0 0 0 0 0 2 0 0 0 0 0
"ENSG00000111877" 325 273 416 330 288 258 252 189 282 211 222 282
"ENSG00000253194" 2 2 2 9 8 0 6 0 1 2 2 2
"ENSG00000111879" 0 2 0 0 0 0 0 0 0 0 0 4
"ENSG00000222649" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000207982" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111875" 187 192 273 169 203 179 75 84 129 34 106 90
"ENSG00000216316" 0 0 0 0 0 2 0 0 0 2 0 2
"ENSG00000200732" 0 0 0 0 0 0 2 0 0 0 0 0
"ENSG00000111885" 2123 2338 4101 2574 2366 3304 2157 1057 2626 1496 1992 3191
"ENSG00000146350" 58 33 68 54 35 41 25 10 15 4 22 15
"ENSG00000025156" 85 71 72 81 97 40 33 36 17 16 78 14
"ENSG00000279453" 75 71 154 75 94 96 104 93 90 44 58 84
"ENSG00000275339" 0 1 0 7 1 0 1 0 2 1 0 0
"ENSG00000135549" 21 66 42 8 82 31 8 36 11 4 27 14
"ENSG00000277408" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000272472" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111897" 4678 3762 6927 4366 4257 4499 4838 3209 5288 3198 4227 4597
"ENSG00000279114" 2 0 9 0 1 11 2 2 2 0 0 0
"ENSG00000172594" 363 531 522 310 537 381 261 439 503 192 691 356
"ENSG00000188580" 0 0 0 0 0 2 0 0 0 0 0 0
